ID ,Cohort,Duplicates,Math Pre-Test Score (10 max),Math Post-Test Score (10 max),Math Normalized Gain (%),Computer Pre-Test Score (10 max),Computer Post-Test Score (10 max),Computer  Normalized Gain (%)
JM25a01,John Muir Spring 25,Unique,7,8,50.0%,5,7,67%
JM25a02,John Muir Spring 25,Unique,8,9,#N/A,7,9,#N/A
JM25a03,John Muir Spring 25,Unique,9,10,33.3%,7,10,40%
JM25a04,John Muir Spring 25,Unique,7,8,66.7%,5,7,50%
JM25a05,John Muir Spring 25,Unique,7,9,50.0%,6,8,33%
JM25a06,John Muir Spring 25,Unique,6,8,33.3%,4,6,43%
JM25a07,John Muir Spring 25,Unique,4,6,20.0%,3,6,20%
JM25a08,John Muir Spring 25,Unique,5,6,33.3%,5,6,60%
JM25a09,John Muir Spring 25,Unique,7,8,50.0%,5,8,33%
JM25a10,John Muir Spring 25,Unique,6,8,66.7%,4,6,60%
JM25a11,John Muir Spring 25,Unique,7,9,66.7%,5,8,50%
JM25a12,John Muir Spring 25,Unique,7,9,66.7%,6,8,60%
JM25a13,John Muir Spring 25,Unique,7,9,16.7%,5,8,13%
JM25a14,John Muir Spring 25,Unique,4,5,#N/A,2,3,#N/A
JM25a15,John Muir Spring 25,Unique,NA,NA,#N/A,NA,NA,#N/A
JM25a16,John Muir Spring 25,Unique,NA,NA,#N/A,NA,NA,#N/A
JM25a17,John Muir Spring 25,Unique,NA,NA,50.0%,NA,NA,43%
JM25a18,John Muir Spring 25,Unique,6,8,#N/A,3,6,#N/A
JM25a19,John Muir Spring 25,Unique,NA,NA,#N/A,NA,NA,#N/A
JM25a20,John Muir Spring 25,Unique,NA,NA,#N/A,NA,NA,#N/A
JM25a22,John Muir Spring 25,Unique,NA,NA,33.3%,NA,NA,22%
JM25a23,John Muir Spring 25,Unique,4,6,50.0%,1,3,33%
BA2501,Bancroft Spring 25,Unique,4,7,50.0%,4,6,57%
BA2502,Bancroft Spring 25,Unique,8,9,#N/A,3,7,#N/A
BA2503,Bancroft Spring 25,Unique,8,10,40.0%,7,10,43%
BA2504,Bancroft Spring 25,Unique,5,7,0.0%,3,6,0%
BA2505,Bancroft Spring 25,Unique,5,5,60.0%,2,2,43%
BA2506,Bancroft Spring 25,Unique,5,8,25.0%,3,6,33%
