ID ,Cohort,"STEM Participation  (4-High,  3-Active,  2-Moderate, 1-Low)","STEM Teamwork  (4-High,  3-Active,  2-Moderate, 1-Low)","STEM Task Completion (4-High,  3-Active,  2-Moderate, 1-Low)","STEM Confidence (4-High,  3-Active,  2-Moderate, 1-Low)","Sports Participation  (4-High,  3-Active,  2-Moderate, 1-Low)","Sports Teamwork  (4-High,  3-Active,  2-Moderate, 1-Low)","Sports Task Completion (4-High,  3-Active,  2-Moderate, 1-Low)","Sports Confidence (4-High,  3-Active,  2-Moderate, 1-Low)"
JM25a01,John Muir Spring 25,3,4,3,3,4,4,4,3
JM25a02,John Muir Spring 25,4,3,4,4,1,2,2,1
JM25a03,John Muir Spring 25,4,4,4,4,1,2,2,1
JM25a04,John Muir Spring 25,4,3,4,3,1,2,2,1
JM25a05,John Muir Spring 25,4,4,4,4,4,4,4,4
JM25a06,John Muir Spring 25,3,3,4,3,4,4,4,4
JM25a07,John Muir Spring 25,2,2,2,1,4,4,4,4
JM25a08,John Muir Spring 25,2,2,3,2,1,1,2,2
JM25a09,John Muir Spring 25,4,4,4,2,4,4,4,3
JM25a10,John Muir Spring 25,4,4,4,3,3,3,4,3
JM25a11,John Muir Spring 25,4,4,4,3,3,4,4,3
JM25a12,John Muir Spring 25,4,4,4,3,4,4,4,4
JM25a13,John Muir Spring 25,4,4,4,4,4,4,4,3
JM25a14,John Muir Spring 25,1,2,2,1,4,2,4,3
JM25a15,John Muir Spring 25,0,0,0,0,0,0,0,0
JM25a16,John Muir Spring 25,0,0,0,0,0,0,0,0
JM25a17,John Muir Spring 25,0,0,0,0,0,0,0,0
JM25a18,John Muir Spring 25,4,3,4,4,1,2,2,1
JM25a19,John Muir Spring 25,0,0,0,0,0,0,0,0
JM25a20,John Muir Spring 25,0,0,0,0,0,0,0,0
JM25a22,John Muir Spring 25,0,0,0,0,0,0,0,0
JM25a23,John Muir Spring 25,3,4,4,2,2,3,3,2
BA2501,Bancroft Spring 25,4,4,4,3,2,2,3,3
BA2502,Bancroft Spring 25,4,4,4,4,2,3,4,3
BA2503,Bancroft Spring 25,4,4,4,4,2,2,3,2
BA2504,Bancroft Spring 25,3,3,3,2,3,2,3,2
BA2505,Bancroft Spring 25,3,4,3,2,2,2,3,2
BA2506,Bancroft Spring 25,3,4,3,2,4,4,4,4
BA2507,Bancroft Spring 25,2,3,2,1,4,2,4,4
BA2508,Bancroft Spring 25,2,2,2,1,3,2,3,2
BA2509,Bancroft Spring 25,3,2,3,2,4,2,4,0
BA2510,Bancroft Spring 25,1,1,1,1,4,2,4,4
BA2511,Bancroft Spring 25,1,1,1,3,4,2,4,4
BA2512,Bancroft Spring 25,1,1,1,1,4,2,4,4
BA2513,Bancroft Spring 25,0,0,0,0,0,0,0,0
BA2514,Bancroft Spring 25,0,0,0,0,0,0,0,0
BA2515,Bancroft Spring 25,2,2,2,3,4,4,4,3
BA2516,Bancroft Spring 25,2,3,3,2,4,4,4,3
BA2517,Bancroft Spring 25,2,4,4,2,2,3,2,3
BA2518,Bancroft Spring 25,2,4,4,2,2,3,2,3
BA2519,Bancroft Spring 25,2,4,4,2,3,3,2,3
BA2520,Bancroft Spring 25,2,2,3,2,4,3,4,3
BA2521,Bancroft Spring 25,1,2,2,1,4,2,4,4
JM24b01,John Muir Fall 24,3,4,3,3,4,3,3,4
JM24b02,John Muir Fall 24,2,3,2,2,2,4,4,2
JM24b03,John Muir Fall 24,4,4,4,4,2,4,3,2
JM24b04,John Muir Fall 24,NA,NA,NA,NA,NA,NA,NA,NA
JM24b05,John Muir Fall 24,NA,NA,NA,NA,NA,NA,NA,NA
JM24b06,John Muir Fall 24,NA,NA,NA,NA,NA,NA,NA,NA
JM24b07,John Muir Fall 24,4,4,4,4,3,4,4,3
JM24b08,John Muir Fall 24,3,4,3,3,3,3,3,3
JM24b09,John Muir Fall 24,4,4,4,4,2,3,3,2
JM24b10,John Muir Fall 24,4,4,4,4,4,3,3,4
JM24b11,John Muir Fall 24,NA,NA,NA,NA,NA,NA,NA,NA
JM24b12,John Muir Fall 24,3,4,3,3,4,3,3,4
JM24b13,John Muir Fall 24,2,3,2,2,4,3,4,4
JM24b14,John Muir Fall 24,4,4,4,4,2,3,3,2
JM24b15,John Muir Fall 24,3,4,3,3,2,3,3,2
JM24b16,John Muir Fall 24,4,4,4,4,4,4,4,4
JM24b17,John Muir Fall 24,4,4,4,4,2,4,4,2
JM24b18,John Muir Fall 24,4,4,4,4,2,3,3,2
JM24b19,John Muir Fall 24,3,4,3,3,4,3,4,4
JM24b20,John Muir Fall 24,4,4,4,4,2,4,4,2
JM24b21,John Muir Fall 24,4,4,4,4,4,4,4,4
JM24b22,John Muir Fall 24,4,4,4,4,4,4,3,4
JM24b23,John Muir Fall 24,4,4,4,4,4,4,3,4
JM24b24,John Muir Fall 24,2,3,2,2,2,3,3,2
JM24b25,John Muir Fall 24,4,4,4,4,4,3,4,4
BA24b01,Bancroft Fall 24,4,4,4,4,3,3,4,3
BA24b02,Bancroft Fall 24,3,4,3,3,3,4,3,3
BA24b03,Bancroft Fall 24,3,4,3,3,3,4,3,3
BA24b04,Bancroft Fall 24,2,3,2,2,4,3,4,4
BA24b05,Bancroft Fall 24,NA,NA,NA,NA,NA,NA,NA,NA
BA24b06,Bancroft Fall 24,4,4,4,4,3,3,4,3
BA24b07,Bancroft Fall 24,3,4,3,3,3,4,4,3
BA24b08,Bancroft Fall 24,4,4,4,4,3,4,3,3
BA24b09,Bancroft Fall 24,3,4,3,3,4,4,3,4
BA24b10,Bancroft Fall 24,NA,NA,NA,NA,NA,NA,NA,NA
BA24b11,Bancroft Fall 24,NA,NA,NA,NA,NA,NA,NA,NA
BA24b12,Bancroft Fall 24,NA,NA,NA,NA,NA,NA,NA,NA
BA24b13,Bancroft Fall 24,3,4,3,3,4,3,4,4
BA24b14,Bancroft Fall 24,4,4,4,4,3,4,3,3
BA24b15,Bancroft Fall 24,2,3,2,2,3,3,4,3
BA24b16,Bancroft Fall 24,3,4,3,3,3,4,3,3
BA24b17,Bancroft Fall 24,3,4,3,3,3,3,4,3
