Timestamp,Grade,Gender,How enjoyable was the Science on the Court program?,How effective was the balance between classroom learning and basketball activities?,How helpful were the hands-on experiments and basketball drills in helping you improve in basketball or STEM?,"After this program, how much better do you understand the following? [Robotics (building and programming)]","After this program, how much better do you understand the following? [Math concepts (measurement, data, ratios, equations)]","After this program, how much better do you understand the following? [Physics concepts (motion, speed, energy)]",I used math or science to solve real problems during the program.,How often did you do the following during the program? [Tried again after making a mistake],How often did you do the following during the program? [Math],How often did you do the following during the program? [Explained your thinking or solution to others],"Do you think there are scientists, engineers, or inventors who come from the same kind of background as you?",Does seeing people like you in STEM make you more interested in it?,How has your interest in STEM fields and basketball changed due to your participation in the program?,"Overall, how effective were the instructors in enhancing your learning experience?",Did you feel prepared to explain the final robot project to others?,Would you recommend this program to a friend,What was your favorite activity and why?,What would you change about the program to make it more enjoyable AND improve how much students learn?,Any final comments for the instructors or program sponsors?
5/21/2025 14:42:04,6th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Somewhat better,Always,Sometimes,Often,Always,Yes,Maybe,Somewhat increased,Very effective,Very prepared,Yes,soccer,barcelona,barcelona
5/21/2025 14:43:00,6th,Male,Very enjoyable,Very effective,Very effective,Much better,Somewhat better,Much better,Often,Often,Sometimes,Always,Yes,Maybe,Significantly increased,Very effective,Somewhat prepared,Maybe,my favorute activty was the stem tournament,give out more prizes,no
5/21/2025 14:43:31,6th,Male,Somewhat enjoyable,Very effective,Very effective,Much better,Much better,Somewhat better,Often,Often,Always,Often,Not sure,Yes,Significantly increased,Very effective,Somewhat prepared,Yes,barca,barca,barcaaaa
5/21/2025 14:44:10,6th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Much better,Always,Always,Often,Sometimes,Yes,Yes,Significantly increased,Somewhat effective,Somewhat prepared,Maybe,shooting,more basketball stuff,no
5/21/2025 14:45:36,6th,Male,Very enjoyable,Very effective,Very effective,Much better,Much better,Somewhat better,Sometimes,Always,Often,Sometimes,Yes,Yes,Somewhat increased,Very effective,Very prepared,Yes,feild trips,I would make it on the field for soccer,no
5/21/2025 14:46:13,7th,Male,Very enjoyable,Very effective,Somewhat effective,Much better,Neutral,Much better,Sometimes,Often,Often,Always,Yes,Yes,Significantly increased,Very effective,Somewhat prepared,Yes,my favorite activity was the final competition because it was harder code making it more rewarding after figuring out the solution.,i would not change anything because in my opinion its helped me improve basketball and robotics.,no
5/22/2025 14:29:29,6th,Male,Very enjoyable,Somewhat effective,Very effective,Much better,Much better,Neutral,Always,Often,Sometimes,Always,Yes,Yes,Somewhat increased,Very effective,Very prepared,Yes,Robots ONLY Basketball sucks,NO Basketball Also include the extension packs for the robotics,Can you please include a robot kit+expansion for a reward.
5/22/2025 14:30:11,7th,Male,Very enjoyable,Somewhat effective,Somewhat effective,Much better,Much better,Somewhat better,Often,Often,Always,Sometimes,Yes,Maybe,Significantly increased,Very effective,Very prepared,Maybe,Tesla field trip,,
5/22/2025 14:31:38,7th,Male,Neutral,Very effective,Very effective,Neutral,Much better,Somewhat better,Sometimes,Always,Often,Always,Yes,Yes,Somewhat increased,Very effective,Very prepared,Maybe,"Basketball field trips because we got to play basketball against others,","Have more basketball time, and activities that directly correlate with one another. ",no
5/22/2025 14:32:28,7th,Male,Very enjoyable,Very effective,Very effective,Somewhat better,Much better,Much better,Often,Often,Always,Sometimes,Yes,Maybe,Somewhat increased,Very effective,Somewhat prepared,Yes,My favorite activity was when we went to tesla because we got to get hot chocolate,I wouldn't change anything about the program because it's good,Nah
